,Player,Team,Pos,Rush Att,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,Fum,Fantasy Points
99,Justice Hill,BAL,RB,19.4,88.9,0.6,5.2,37.2,0.2,0.1,19.8
100,Kerryon Johnson,PHI,RB,26.1,102.2,0.6,3.7,29.6,0.1,0.3,18.8
101,Jeremy McNichols,TEN,RB,21.8,96.8,0.5,4.7,31.6,0.1,0.1,18.7
102,Travis Homer,SEA,RB,17.7,75.1,0.4,6.0,43.8,0.2,0.2,18.2
103,Eno Benjamin,ARI,RB,23.5,100.4,0.6,3.4,27.0,0.1,0.1,18.2
104,Royce Freeman,DEN,RB,21.8,92.9,0.6,4.1,26.0,0.1,0.0,18.1
105,JaMycal Hasty,SF,RB,21.4,104.8,0.6,2.7,18.7,0.1,0.0,17.8
106,Dexter Williams,GB,RB,12.7,54.2,0.4,6.6,49.2,0.3,0.1,17.6
107,Dontrell Hilliard,HOU,RB,12.4,45.0,1.0,4.9,36.6,0.0,0.0,16.6
108,Demetric Felton,CLE,RB,18.7,89.7,0.7,2.5,20.6,0.0,0.0,16.6
109,Lamar Miller,WAS,RB,14.9,62.4,0.8,3.1,25.4,0.1,0.0,15.5
110,Josh Adams,NYJ,RB,16.6,79.0,1.1,0.9,5.5,0.0,0.0,15.4
111,Raymond Calais,LAR,RB,13.1,54.4,0.7,3.9,31.0,0.1,0.1,15.0
112,Ty Montgomery,NO,RB,14.3,53.9,0.1,6.1,47.9,0.2,0.1,15.0
113,D'Ernest Johnson,CLE,RB,18.5,79.4,0.4,3.6,27.5,0.1,0.2,14.9
114,Patrick Ricard,BAL,RB,1.3,3.0,0.0,8.8,58.0,0.8,0.5,14.3
115,Trey Edmunds,PIT,RB,12.7,55.1,0.3,3.9,25.8,0.2,0.0,13.2
116,Xavier Jones,LAR,RB,18.8,76.0,0.5,2.1,15.7,0.0,0.0,13.2
117,Jordan Howard,PHI,RB,14.9,64.4,1.0,0.4,4.5,0.0,0.0,13.1
118,Alec Ingold,LV,RB,4.5,18.8,0.2,6.6,54.7,0.3,0.1,13.1
119,Kene Nwangwu,MIN,RB,23.0,91.0,0.0,3.0,21.0,0.0,0.0,12.7
121,Jordan Wilkins,IND,RB,14.7,72.9,0.4,1.7,12.3,0.1,0.0,12.5
120,C.J. Ham,MIN,RB,4.7,19.9,0.2,5.9,50.0,0.3,0.1,12.5
122,Ke'Shawn Vaughn,TB,RB,13.8,58.5,0.4,2.4,17.1,0.1,0.0,12.1
123,Gary Brightwell,NYG,RB,16.2,69.4,0.3,2.6,18.9,0.0,0.1,11.7
124,Theo Riddick,LV,RB,7.3,30.9,0.1,5.4,42.3,0.1,0.1,10.9
125,J.J. Taylor,NE,RB,13.6,59.2,0.4,1.9,14.7,0.0,0.0,10.9
126,Kylin Hill,GB,RB,20.0,80.6,0.1,1.5,11.0,0.0,0.0,10.5
127,Alex Armah,NO,RB,4.4,18.5,0.2,4.5,36.3,0.2,0.1,9.9
128,Reggie Bonnafon,CAR,RB,12.0,45.5,0.1,3.4,25.2,0.0,0.1,9.7
129,Chris Evans,CIN,RB,14.9,57.3,0.1,2.3,17.0,0.1,0.1,9.7
130,Andrew Beck,DEN,RB,4.9,21.2,0.2,4.1,28.0,0.2,0.0,9.0
132,Buddy Howell,HOU,RB,4.0,17.1,0.2,4.1,28.2,0.2,0.0,8.5
131,Rico Dowdle,DAL,RB,7.2,30.7,0.2,2.8,22.0,0.1,0.1,8.5
133,Ryquell Armstead,NYG,RB,8.3,35.2,0.2,2.2,16.2,0.2,0.0,8.3
