,Player,Team,Pos,Rec,Rec Yds,Rec TDs,Fum,Fantasy Points
40,Jimmy Graham,CHI,TE,23.8,249.3,2.7,0.1,52.7
41,Dalton Schultz,DAL,TE,26.5,275.4,2.1,0.6,52.2
42,Jacob Hollister,BUF,TE,27.1,244.5,2.1,0.5,49.6
43,Nick Boyle,BAL,TE,23.6,219.2,2.1,0.0,46.5
44,Maxx Williams,ARI,TE,21.3,235.3,2.0,0.1,45.7
45,Geoff Swaim,TEN,TE,23.2,216.1,1.8,0.1,43.8
46,Kyle Rudolph,NYG,TE,23.1,212.5,1.8,0.1,43.4
47,Drew Sample,CIN,TE,24.8,232.1,1.4,0.6,42.9
48,James O'Shaughnessy,JAC,TE,24.5,241.4,1.0,0.1,42.4
49,Harrison Bryant,CLE,TE,19.5,207.9,1.9,1.1,39.5
50,Cameron Brate,TB,TE,20.5,192.5,1.6,0.0,39.0
51,Darren Fells,DET,TE,18.0,188.5,1.6,0.0,37.3
52,Foster Moreau,LV,TE,13.9,152.2,2.1,0.1,34.9
53,Pat Freiermuth,PIT,TE,19.8,179.5,1.3,0.5,34.8
54,Albert Okwuegbunam,DEN,TE,16.6,174.2,1.4,0.1,33.9
55,Adam Shaheen,MIA,TE,16.6,164.6,1.9,1.0,33.9
56,Hunter Long,MIA,TE,19.1,176.3,1.3,0.5,33.6
57,Ian Thomas,CAR,TE,18.0,159.2,1.3,0.0,32.5
58,Ryan Izzo,HOU,TE,12.4,209.9,1.0,1.0,31.2
59,Kahale Warring,HOU,TE,15.9,163.7,1.0,0.1,30.4
60,Marcedes Lewis,GB,TE,13.0,140.5,1.6,0.0,29.8
61,Chris Manhertz,JAC,TE,15.3,153.6,1.0,0.0,28.7
62,Noah Gray,KC,TE,14.4,148.2,1.2,0.5,28.0
63,Pharaoh Brown,HOU,TE,13.4,143.5,1.1,0.0,27.5
64,Jacob Harris,LAR,TE,12.6,156.8,0.9,0.0,27.4
65,Ryan Griffin,NYJ,TE,13.0,125.4,1.3,0.0,26.8
66,Matt Sokol,LAC,TE,13.0,141.0,1.0,0.0,26.6
67,Darrell Daniels,ARI,TE,12.7,135.2,1.0,0.1,25.6
68,Reggie Gilliam,BUF,TE,11.0,77.0,2.0,0.0,25.2
69,Tyler Kroft,NYJ,TE,11.0,111.6,1.4,0.0,24.9
70,Thaddeus Moss,CIN,TE,13.0,122.0,1.0,0.0,24.7
71,Durham Smythe,MIA,TE,13.1,108.2,1.0,0.0,23.0
72,Brycen Hopkins,LAR,TE,12.4,126.5,0.7,0.1,22.9
73,Nick Vannett,NO,TE,11.0,118.6,0.9,0.1,22.8
74,Ross Dwelley,SF,TE,11.3,118.8,0.9,0.0,22.6
75,Hunter Bryant,DET,TE,10.4,122.8,0.8,0.0,22.4
76,Devin Asiasi,NE,TE,10.4,116.6,1.1,0.5,22.3
77,Jace Sternberger,GB,TE,10.5,101.5,1.1,0.0,22.2
78,Derek Carrier,LV,TE,10.0,92.3,1.2,0.0,21.1
79,Brevin Jordan,HOU,TE,10.4,111.2,0.6,0.0,20.0
80,Stephen Carlson,CLE,TE,8.1,88.5,1.1,0.0,19.5
81,Jordan Thomas,IND,TE,8.3,75.5,1.3,0.0,19.3
82,Luke Farrell,JAC,TE,11.5,110.6,0.6,0.5,19.1
83,Blake Bell,KC,TE,10.0,94.8,0.7,0.0,18.8
84,Josiah Deguara,GB,TE,9.3,96.1,0.9,0.5,18.7
85,John Bates,WAS,TE,9.5,88.2,0.6,0.5,15.9
